description,serving_size,"Carbohydrate, by difference-G",Cholesterol-MG,Energy-KCAL,"Fiber, total dietary-G",Protein-G,"Sugars, total including NLEA-G",Total lipid (fat)-G,"Magnesium, Mg-MG","Vitamin C, total ascorbic acid-MG",Vitamin B-6-MG
"ESSENTIAL EVERYDAY, APPLE CRUNCHIES, SWEETENED MULTI-GRAIN CEREAL, APPLE, CINNAMON",33.0,87.88,0.0,394.0,3.0,3.03,45.45,3.03,24.0,18.2,1.515
"ESSENTIAL EVERYDAY, MINI COOKIES",26.0,84.62,0.0,385.0,3.8,3.85,38.46,3.85,0.0,23.1,1.923
MULTI GRAIN TOASTED CEREAL,40.0,80.0,0.0,375.0,10.0,7.5,20.0,3.75,80.0,15.0,1.25
APPLE CINNAMON SWEETENED TOASTED OAT CEREAL,40.0,80.0,0.0,400.0,5.0,7.5,37.5,6.25,60.0,15.0,1.25
"ESSENTIAL EVERYDAY, CORN CEREAL, HONEY & NATURAL ALMOND",32.0,87.5,0.0,375.0,3.1,6.25,28.12,2.03,0.0,18.8,1.562
FROSTED FRUIT-O'S SWEETENED MULTI-GRAIN CEREAL WITH NATURAL FRUIT FLAVORS,32.0,87.5,0.0,406.0,3.1,6.25,46.88,3.12,25.0,18.8,1.562
BITE SIZE FROSTED SHREDDED WHEAT,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
ORGANIC SPROUTED WHOLE WHEAT FLOUR,30.0,66.67,0.0,333.0,10.0,13.33,0.0,3.33,133.0,0.0,0.4
"WEIS QUALITY, INSTANT OATMEAL, APPLE & CINNAMON",35.0,77.14,0.0,371.0,8.6,8.57,34.29,4.29,91.0,0.0,1.143
"WEIS, INSTANT OATMEAL, CINNAMON ROLL",43.0,76.74,0.0,372.0,7.0,9.3,30.23,4.65,93.0,0.0,0.93
"MAPLE & BROWN SUGAR SUGAR FREE INSTANT OATMEAL, MAPLE & BROWN SUGAR",28.0,64.29,0.0,357.0,10.7,14.29,0.0,7.14,143.0,0.0,1.429
"APPLES & CINNAMON SUGAR FREE INSTANT OATMEAL, APPLES & CINNAMON",28.0,64.29,0.0,357.0,10.7,14.29,0.0,7.14,143.0,0.0,1.429
SHREDDED WHEAT CEREAL,40.0,80.0,0.0,350.0,12.5,10.0,0.0,2.5,150.0,0.0,0.2
INSTANT OATMEAL MADE WITH WHOLE GRAIN OATS,35.0,77.14,0.0,371.0,8.6,8.57,34.29,4.29,91.0,0.0,1.143
"EDEN, CHILI, VEGETARIAN, MADE WITH ORGANIC KIDNEY BEANS, KAMUT, & SPICES, VEGETARIAN",250.0,17.2,0.0,96.0,4.4,5.6,1.6,0.8,40.0,0.0,0.12
"CHILI, PINTO BEAN & SPELT WHEAT",250.0,16.8,0.0,88.0,3.2,4.4,1.2,0.6,40.0,0.0,0.12
PEACHES & CREAM,35.0,77.14,0.0,400.0,5.7,8.57,31.43,5.71,69.0,0.0,1.143
ORIGINAL INSTANT OATMEAL ,28.0,67.86,0.0,393.0,10.7,14.29,0.0,7.14,114.0,0.0,1.429
STRAWBERRIES & CREAM INSTANT OATMEAL,35.0,77.14,0.0,400.0,5.7,5.71,31.43,7.14,69.0,0.0,1.143
"SKIPPY, SUPER CHUNK REDUCED FAT PEANUT BUTTER SPREAD, SUPER CHUNK",34.0,41.18,0.0,529.0,5.9,20.59,11.76,35.29,176.0,0.0,0.353
REDUCED FAT CREAMY PEANUT SPREAD,35.0,37.14,0.0,514.0,5.7,22.86,17.14,34.29,171.0,0.0,0.343
PEANUT BUTTER SPREAD,34.0,41.18,0.0,529.0,5.9,20.59,11.76,35.29,176.0,0.0,0.353
CRUNCHY PEANUT SPREAD,36.0,36.11,0.0,528.0,5.6,22.22,16.67,33.33,167.0,0.0,0.333
"OATS & MORE WITH ALMONDS, TOASTED MULTI-GRAIN CEREAL WITH ALMONDS & HONEY OAT CLUSTERS",32.0,81.25,0.0,406.0,6.2,9.38,18.75,6.25,50.0,18.8,1.562
"BLUEBERRY FLAVORED FRUIT & GRAIN BARS, BLUEBERRY",37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
"STRAWBERRY FLAVORED FRUIT & GRAIN BARS, STRAWBERRY",37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
"MIXED BERRY FLAVORED FRUIT & GRAIN BARS, MIXED BERRY",37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
APPLE CINNAMON CEREAL BARS,37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
"RAISIN BRAN CEREAL, RAISIN BRAN",56.0,80.36,0.0,375.0,12.5,7.14,32.14,1.79,143.0,10.7,0.893
"CRUNCHY RAISIN BRAN CRUNCHY WHEAT & RICE FLAKES WITH RAISINS & CRUNCHY OAT CLUSTERS CEREAL, CRUNCHY RAISIN BRAN",53.0,83.02,0.0,358.0,7.5,5.66,37.74,1.89,75.0,0.0,0.943
"CRUNCHY HONEY OATS FLAVORED LIGHTLY SWEETENED CORN & WHEAT FLAKES CEREAL WITH OAT CLUSTERS & HONEY CEREAL, CRUNCHY HONEY OATS",30.0,83.33,0.0,400.0,6.7,6.67,20.0,5.0,80.0,20.0,1.667
"HOSPITALITY, TOASTED OATS CEREAL",30.0,76.67,0.0,400.0,10.0,13.33,6.67,3.33,133.0,50.0,1.667
"TOASTED WHEAT CEREAL, TOASTED WHEAT",47.0,82.98,0.0,340.0,10.6,8.51,10.64,2.13,85.0,12.8,1.064
"TOASTED MULTI-GRAIN SPINS LIGHTLY SWEETENED MULTI-GRAIN CEREAL, TOASTED MULTI-GRAIN SPINS",29.0,82.76,0.0,379.0,10.3,6.9,20.69,5.17,55.0,20.7,1.724
"APPLE CINNAMON FLAVORED SUGAR FREE INSTANT OATMEAL, APPLE CINNAMON",28.0,64.29,0.0,393.0,10.7,14.29,0.0,7.14,143.0,0.0,1.429
CEREAL BARS,37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
TORTILLA CHIPS,28.0,64.29,0.0,536.0,3.6,7.14,3.57,25.0,57.0,4.3,0.286
WHOLE GRAIN CRISPS,28.0,67.86,0.0,500.0,3.6,7.14,7.14,21.43,29.0,0.0,0.143
TORTILLA CHIPS,28.0,67.86,0.0,500.0,7.1,7.14,3.57,21.43,57.0,0.0,0.143
"TRIPLE CHOCOLATE SNACK BARS, TRIPLE CHOCOLATE",40.0,42.5,0.0,400.0,12.5,30.0,0.0,22.5,60.0,22.5,0.5
ROASTED SALTED ALMONDS,28.0,17.86,0.0,607.0,10.7,21.43,3.57,53.57,286.0,0.0,0.0
DRINK MIX,25.0,92.0,0.0,400.0,4.0,4.0,84.0,0.0,160.0,192.0,1.6
INSTANT WHOLE GRAIN OATMEAL,45.0,64.44,0.0,356.0,13.3,15.56,2.22,5.56,89.0,0.0,0.889
FRUIT & GRAIN CEREAL BAR,37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
TOASTED OATS CEREAL,30.0,80.0,0.0,400.0,6.7,10.0,36.67,3.33,80.0,70.0,2.333
"SWEETENED MULTI-GRAIN CEREAL, APPLE",28.0,89.29,0.0,357.0,10.7,3.57,39.29,1.79,29.0,53.6,1.786
RAISIN BRAN CEREAL,59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
"SWEETENED TOASTED OAT CEREAL WITH THE FLAVOR OF APPLE & CINNAMON, APPLE CINNAMON",30.0,80.0,0.0,400.0,6.7,6.67,36.67,5.0,53.0,20.0,1.667
"FIBER BRAN TOASTED CORN AND WHEAT CEREAL, FIBER BRAN",30.0,83.33,0.0,200.0,46.7,6.67,0.0,3.33,133.0,20.0,1.667
"CRUNCHY RAISIN BRAN WHEAT FLAKES WITH RAISINS & OATS & HONEY GRANOLA CLUSTERS, CRUNCHY RAISIN BRAN",53.0,83.02,0.0,358.0,9.4,7.55,33.96,1.89,113.0,0.0,0.943
"CRISP RICE OVEN TOASTED RICE CEREAL, CRISP RICE",39.0,87.18,0.0,385.0,0.0,7.69,10.26,0.0,21.0,38.5,1.282
BRAN FLAKES,29.0,79.31,0.0,310.0,17.2,10.34,17.24,1.72,138.0,206.9,6.897
"SWEETENED CEREAL, SWEETENED",38.0,84.21,0.0,368.0,5.3,5.26,36.84,3.95,63.0,15.8,1.316
"CHOCOLATE TOASTED CORN AND OAT CEREAL MADE WITH REAL COCOA, CHOCOLATE",27.0,81.48,0.0,370.0,7.4,3.7,33.33,5.56,59.0,55.6,1.852
CEREAL,29.0,86.21,0.0,379.0,10.3,3.45,37.93,3.45,28.0,51.7,1.724
"BITE SIZE FROSTED SHREDDED WHEAT LIGHTLY SWEETENED WHOLE GRAIN CEREAL, FROSTED SHREDDED WHEAT",55.0,83.64,0.0,345.0,9.1,9.09,20.0,1.82,73.0,0.0,0.909
"SCHNUCKS, HONEY & OATS WITH ALMONDS, TOASTED MULTI-GRAIN CEREAL",32.0,81.25,0.0,406.0,6.2,9.38,18.75,6.25,50.0,18.8,1.562
"CINNAMON FROSTED WHOLE GRAIN SHREDDED WHEAT CEREAL WITH ONYX SORGHUM, CINNAMON FROSTED",52.0,82.69,0.0,385.0,9.6,7.69,23.08,1.92,77.0,0.0,0.962
"HONEY & OATS TOASTED MULTI-GRAIN CEREAL WITH HONEY OAT CLUSTERS, HONEY & OATS",43.0,83.72,0.0,372.0,4.7,6.98,18.6,3.49,37.0,2.8,1.163
MATZOLAH WHOLE WHEAT MAPLE NUT,52.0,57.69,0.0,462.0,7.7,9.62,26.92,23.08,62.0,0.0,0.077
SWEETENED RICE CEREAL WITH REAL COCOA,29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
SWEETENED CORN & OAT CEREAL,29.0,89.66,0.0,379.0,3.4,3.45,37.93,1.72,28.0,20.7,1.724
CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL,55.0,83.64,0.0,382.0,9.1,7.27,20.0,1.82,58.0,0.0,0.291
LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL,55.0,81.82,0.0,345.0,43.6,9.09,20.0,1.82,109.0,0.0,0.909
LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"CEREAL, HONEY NUT",32.0,81.25,0.0,375.0,6.2,9.38,31.25,4.69,75.0,0.0,0.5
RAISIN BRAN CLUSTERS,53.0,83.02,0.0,358.0,7.5,7.55,35.85,1.89,75.0,0.0,0.943
"WHOLE GRAIN WHEAT & BRAN CEREAL WITH RAISINS, CINNAMON, AND STEEL CUT OAT CLUSTERS",53.0,83.02,0.0,358.0,7.5,7.55,35.85,1.89,75.0,0.0,0.943
"LIGHTLY SWEETENED TOASTED WHOLE GRAIN OAT CEREAL, LIGHTLY SWEETENED TOASTED WHOLE GRAIN OAT CEREAL",30.0,76.67,0.0,400.0,6.7,10.0,13.33,5.0,107.0,20.0,1.667
LIGHTLY SWEETENED TOASTED WHOLE GRAIN OAT CEREAL,30.0,76.67,0.0,400.0,6.7,10.0,13.33,5.0,107.0,20.0,1.667
"SWEETENED NATURALLY & ARTIFICIALLY CHOCOLATE FLAVORED RICE CEREAL WITH REAL COCOA, CHOCOLATE, CHOCOLATE",29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
"SWEETENED RICE CEREAL WITH REAL COCOA, SWEETENED RICE CEREAL WITH REAL COCOA",29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
"SWEETENED RICE CEREAL WITH REAL COCOA, COCOA DYNO-BITES",29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
CINNAMON TOASTERS,30.0,80.0,0.0,433.0,3.3,3.33,33.33,11.67,27.0,20.0,1.667
LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"FROSTED MINI SPOONERS CEREAL, FROSTED MINI SPOONERS",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL, MAPLE & BROWN SUGAR",55.0,83.64,0.0,382.0,9.1,7.27,20.0,1.82,58.0,0.0,0.291
CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"CEREAL, STRAWBERRY CREAM",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"MADAGASCAR, S'MORES JUNGLE PARTY HONEY GRAHAM, COCOA PUFF AND MARSHMALLOW CEREAL, S'MORES JUNGLE PARTY",30.0,80.0,0.0,400.0,3.3,3.33,40.0,8.33,27.0,16.0,1.333
SWEETENED CORN & OAT CEREAL,29.0,89.66,0.0,379.0,3.4,3.45,37.93,1.72,28.0,20.7,1.724
"SWEETENED CORN & OAT CEREAL, HONEY",29.0,89.66,0.0,379.0,3.4,3.45,37.93,1.72,28.0,20.7,1.724
SWEETENED WHOLE WHEAT AND RICE CEREAL WITH CINNAMON,30.0,80.0,0.0,433.0,3.3,3.33,33.33,11.67,53.0,0.0,0.133
"SWEETENED WHOLE GRAIN OAT CEREAL, HONEY NUT TOASTY O'S",30.0,80.0,0.0,400.0,6.7,10.0,30.0,5.0,80.0,0.0,0.0
INSTANT OATMEAL WITH FLAX SEEDS,35.0,77.14,0.0,371.0,5.7,8.57,34.29,5.71,114.0,6.9,1.143
"INSTANT OATMEAL WITH FLAX, PUMPKIN SPICE",35.0,74.29,0.0,371.0,5.7,8.57,31.43,5.71,91.0,0.0,1.143
CEREAL,59.0,79.66,0.0,339.0,10.2,8.47,33.9,1.69,136.0,0.0,0.847
RAISIN BRAN CEREAL,59.0,79.66,0.0,339.0,10.2,8.47,33.9,1.69,136.0,0.0,0.847
SWEETENED PUFFED WHEAT CEREAL,27.0,88.89,0.0,407.0,0.0,7.41,55.56,0.0,59.0,22.2,1.852
SWEETENED RICE CEREAL WITH REAL COCOA,29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
SWEETENED RICE CEREAL WITH REAL COCOA,29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
SWEETENED WHOLE WHEAT & RICE CEREAL,30.0,80.0,0.0,433.0,3.3,3.33,33.33,11.67,27.0,20.0,1.667
"SWEETENED MULTI-GRAIN CEREAL, SWEETENED MULTI-GRAIN CEREAL",32.0,87.5,0.0,406.0,3.1,6.25,46.88,3.12,25.0,18.8,1.562
"SWEETENED MULTI-GRAIN CEREAL, SWEETENED MULTI-GRAIN CEREAL",32.0,87.5,0.0,406.0,3.1,6.25,46.88,3.12,25.0,18.8,1.562
CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"CEREAL, STRAWBERRY CREAM",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL, STRAWBERRY CREAM",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
MINI SPOONERS,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL, BLUEBERRY",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
CEREAL,30.0,83.33,0.0,433.0,3.3,3.33,33.33,10.0,27.0,20.0,1.667
"SWEETENED RICE CEREAL, COCOA",60.0,85.0,0.0,400.0,1.7,5.0,36.67,4.17,27.0,0.0,1.667
"BIG REAL HONEY SWEETENED CORN & OAT CEREAL, BIG REAL HONEY, SWEETENED",32.0,0.09,0.0,406.0,3.1,6.25,31.25,3.12,50.0,0.0,1.562
CEREAL,60.0,83.33,0.0,400.0,5.0,6.67,20.0,5.0,40.0,0.0,1.667
SHREDDED WHEAT,59.0,83.05,0.0,373.0,10.2,8.47,20.34,3.39,102.0,0.0,0.847
"SHREDDED WHEAT, ORIGINAL",49.0,81.63,0.0,347.0,12.2,12.24,0.0,2.04,122.0,0.0,0.163
WHOLE GRAIN CEREAL,56.0,76.79,0.0,393.0,8.9,10.71,21.43,8.04,107.0,0.0,0.893
CHOCOLATEY ALMOND CRUNCH WHOLE GRAIN CEREAL,56.0,76.79,0.0,393.0,8.9,10.71,21.43,8.04,107.0,0.0,0.893
WHOLE GRAIN CEREAL,55.0,76.36,0.0,382.0,12.7,9.09,16.36,5.45,109.0,0.0,0.145
"CEREAL, RAISINS, DATES & PECANS",55.0,74.55,0.0,382.0,9.1,7.27,23.64,7.27,73.0,0.0,0.909
WHOLE GRAIN WHEAT & BRAN CEREAL,59.0,79.66,0.0,322.0,13.6,8.47,32.2,1.69,169.0,0.0,0.847
CEREAL,32.0,81.25,0.0,406.0,6.2,6.25,21.88,6.25,50.0,0.0,1.562
CRUNCH! CEREAL,32.0,84.38,0.0,406.0,6.2,6.25,21.88,4.69,50.0,0.0,1.562
CEREAL,30.0,83.33,0.0,400.0,6.7,6.67,23.33,5.0,53.0,0.0,1.667
CEREAL,31.0,83.87,0.0,387.0,6.5,6.45,25.81,4.84,52.0,15.5,1.613
CEREAL,32.0,81.25,0.0,406.0,6.2,6.25,18.75,7.81,50.0,0.0,1.562
CEREAL,30.0,83.33,0.0,400.0,6.7,6.67,20.0,5.0,53.0,0.0,1.667
CEREAL WITH NUTTY PECAN BUNCHES,29.0,82.76,0.0,414.0,3.4,6.9,20.69,5.17,28.0,0.0,1.379
PUFFED WHEAT CEREAL,27.0,88.89,0.0,370.0,3.7,3.7,51.85,0.0,59.0,0.0,1.852
CEREAL,32.0,87.5,0.0,406.0,3.1,6.25,31.25,3.12,50.0,0.0,1.562
WHEAT CEREAL,27.0,88.89,0.0,370.0,3.7,3.7,51.85,0.0,59.0,0.0,1.852
PROTEIN GRANOLA WITH DARK CHOCOLATE,50.0,62.0,0.0,440.0,6.0,20.0,26.0,12.0,80.0,0.0,0.8
NUTRITIOUS SWEETENED CORN & OAT CEREAL,32.0,87.5,0.0,406.0,3.1,6.25,31.25,3.12,50.0,0.0,1.562
NUTRITIOUS SWEETENED CORN & OAT CEREAL,32.0,87.5,0.0,406.0,3.1,6.25,31.25,3.12,50.0,0.0,1.562
CEREAL WITH SWEET CINNAMON BUNCHES,30.0,83.33,0.0,400.0,6.7,6.67,20.0,5.0,53.0,0.0,1.667
"HONEY BUNCHES OF OATS, CEREAL, CHOCOLATE",32.0,84.38,0.0,406.0,3.1,6.25,25.0,4.69,25.0,0.0,1.25
GOLDEN PUFFS CEREAL,27.0,88.89,0.0,407.0,0.0,7.41,55.56,0.0,59.0,22.2,1.852
"LIGHTLY SWEETENED TOASTED WHOLE GRAIN OAT CEREAL, LIGHTLY SWEETENED TOASTED WHOLE GRAIN OAT CEREAL",30.0,76.67,0.0,400.0,6.7,10.0,13.33,5.0,107.0,20.0,1.667
CEREAL,27.0,74.07,0.0,370.0,11.1,11.11,0.0,5.56,89.0,0.0,0.741
"NUTRITIOUS SWEETENED CORN & OAT CEREAL, STRAWBERRY",32.0,87.5,0.0,406.0,3.1,6.25,31.25,3.12,50.0,0.0,1.562
"WHOLE GRAIN WHEAT & BRAN CEREAL WITH RAISINS, WHOLE GRAIN WHEAT & BRAN CEREAL WITH RAISINS",59.0,83.05,0.0,373.0,10.2,8.47,40.68,2.54,136.0,0.0,0.847
MATZO GRANOLA BREAKFAST & NOSH MAPLE NUT,52.0,59.62,0.0,481.0,5.8,7.69,26.92,23.08,15.0,0.0,0.077
POTATO CHIPS,28.0,60.71,0.0,500.0,3.6,3.57,7.14,28.57,57.0,64.3,0.714
POTATO CHIPS,28.0,60.71,0.0,500.0,3.6,3.57,3.57,28.57,57.0,32.1,0.714
POTATO CHIPS,28.0,60.71,0.0,500.0,3.6,3.57,3.57,28.57,57.0,32.1,0.714
"WESTERN FAMILY, MIXED NUTS",28.0,17.86,0.0,571.0,7.1,21.43,3.57,53.57,214.0,0.0,0.0
FITNESS WHOLE FOOD BAR,50.0,48.0,0.0,390.0,10.0,20.0,28.0,18.0,800.0,120.0,4.0
WHOLE FOOD BAR,50.0,48.0,0.0,390.0,10.0,20.0,28.0,18.0,800.0,120.0,4.0
NUTS & SPICES BARS,40.0,40.0,0.0,500.0,17.5,15.0,12.5,37.5,150.0,0.0,0.1
MADAGASCAR VANILLA ALMOND NUTS & SPICES BARS,40.0,35.0,0.0,525.0,12.5,17.5,10.0,40.0,200.0,0.0,0.2
"BARS, CRANBERRY ALMOND + ANTIOXIDANTS WITH MACADAMIA NUTS",40.0,50.0,0.0,475.0,7.5,10.0,27.5,32.5,100.0,75.0,0.1
POMEGRANATE BLUEBERRY PISTACHIO + ANTIOXIDANTS,40.0,55.0,0.0,475.0,7.5,10.0,25.0,25.0,150.0,75.0,0.1
"CHOCOLATE CHIP ENERGY BAR, CHOCOLATE CHIP",68.0,66.18,0.0,368.0,5.9,14.71,32.35,7.35,118.0,8.8,0.294
"LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL, LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"INSTANT SUGAR FREE OATMEAL, MAPLE & BROWN SUGAR, MAPLE & BROWN SUGAR",28.0,67.86,0.0,357.0,10.7,10.71,0.0,7.14,143.0,0.0,1.429
"LUNA, HIGH PROTEIN BAR, CHOCOLATE COCONUT ALMOND",45.0,44.44,11.0,400.0,6.7,26.67,28.89,13.33,36.0,20.0,0.444
"LUNA, HIGH PROTEIN BAR, CHOCOLATE COCONUT ALMOND",45.0,44.44,11.0,400.0,6.7,26.67,28.89,13.33,36.0,20.0,0.444
HIGH PROTEIN BAR,45.0,48.89,11.0,378.0,6.7,26.67,33.33,10.0,18.0,20.0,0.444
"CRUNCHY PEANUT BUTTER PROTEIN BARS, CRUNCHY PEANUT BUTTER",68.0,42.65,0.0,412.0,2.9,29.41,32.35,14.71,88.0,44.1,0.735
"CHOCOLATE CHIP PROTEIN BARS, CHOCOLATE CHIP",68.0,42.65,0.0,397.0,4.4,29.41,30.88,11.76,88.0,44.1,0.735
"CHOCOLATE HAZELNUT PROTEIN BARS, CHOCOLATE HAZELNUT",68.0,41.18,0.0,412.0,2.9,29.41,30.88,14.71,118.0,44.1,0.735
"PECAN PIE ENERGY BARS, PECAN PIE",68.0,60.29,0.0,382.0,5.9,13.24,30.88,11.76,88.0,79.4,0.588
"CHOCOLATE BROWNIE ENERGY BARS, CHOCOLATE BROWNIE",68.0,64.71,0.0,368.0,5.9,13.24,30.88,7.35,147.0,8.8,0.294
"HOT CHOCOLATE ENERGY BARS, HOT CHOCOLATE",68.0,63.24,0.0,368.0,5.9,14.71,32.35,7.35,118.0,8.8,0.294
"SPICED PUMPKIN PIE ENERGY BARS, SPICED PUMPKIN PIE",68.0,66.18,0.0,368.0,5.9,13.24,33.82,6.62,118.0,8.8,0.294
"HOT CHOCOLATE ENERGY BARS, HOT CHOCOLATE",68.0,63.24,0.0,368.0,5.9,14.71,32.35,7.35,118.0,8.8,0.294
"ICED GINGERBREAD ENERGY BARS, ICED GINGERBREAD",68.0,64.71,0.0,368.0,5.9,11.76,33.82,8.82,118.0,8.8,0.294
"SPICED PUMPKIN PIE ENERGY BARS, SPICED PUMPKIN PIE",68.0,66.18,0.0,368.0,5.9,13.24,33.82,6.62,118.0,8.8,0.294
"WHITE CHOCOLATE MACADAMIA NUT ENERGY BARS, WHITE CHOCOLATE MACADAMIA NUT",68.0,60.29,0.0,382.0,5.9,13.24,30.88,10.29,88.0,79.4,0.588
"CRUNCHY PEANUT BUTTER ENERGY BARS, CRUNCHY PEANUT BUTTER",68.0,60.29,0.0,368.0,5.9,16.18,30.88,8.82,88.0,79.4,0.588
"BERRY POMEGRANATE CHIA ENERGY BARS, BERRY POMEGRANATE CHIA",68.0,66.18,0.0,368.0,5.9,13.24,32.35,6.62,118.0,8.8,0.294
"BLUEBERRY CRISP ENERGY BARS, BLUEBERRY CRISP",68.0,64.71,0.0,368.0,5.9,13.24,32.35,7.35,118.0,5.3,0.294
"CHOCOLATE BROWNIE ENERGY BARS, CHOCOLATE BROWNIE",68.0,64.71,0.0,368.0,5.9,13.24,30.88,7.35,147.0,5.3,0.294
"COCONUT CHOCOLATE CHIP ENERGY BARS, COCONUT CHOCOLATE CHIP",68.0,63.24,0.0,382.0,5.9,13.24,29.41,8.82,118.0,5.3,0.294
"CHOCOLATE CHIP ENERGY BARS, CHOCOLATE CHIP",68.0,66.18,0.0,368.0,5.9,13.24,30.88,7.35,118.0,5.3,0.294
"CHOCOLATE CHIP PEANUT CRUNCH ENERGY BARS, CHOCOLATE CHIP PEANUT CRUNCH",68.0,60.29,0.0,382.0,5.9,14.71,29.41,10.29,118.0,5.3,0.294
"COOL MINT CHOCOLATE ENERGY BARS, COOL MINT CHOCOLATE",68.0,64.71,0.0,368.0,5.9,13.24,29.41,7.35,118.0,5.3,0.294
"CRUNCHY PEANUT BUTTER ENERGY BARS, CRUNCHY PEANUT BUTTER",68.0,58.82,0.0,382.0,5.9,16.18,27.94,10.29,147.0,5.3,0.294
"NUTS & SEEDS ALMONDS, PEANUTS, PUMPKIN SEEDS ENERGY BARS, NUTS & SEEDS",68.0,55.88,0.0,397.0,5.9,16.18,26.47,14.71,176.0,8.8,0.294
"OATMEAL RAISIN WALNUT ENERGY BARS, OATMEAL RAISIN WALNUT",68.0,63.24,0.0,368.0,5.9,14.71,30.88,8.82,118.0,8.8,0.294
"PEANUT TOFFEE BUZZ ENERGY BARS, PEANUT TOFFEE BUZZ",68.0,61.76,0.0,382.0,5.9,14.71,30.88,8.82,118.0,5.3,0.294
"SIERRA TRAIL MIX PEANUTS, CHOCOLATE, RAISINS ENERGY BARS, SIERRA TRAIL MIX",68.0,61.76,0.0,382.0,5.9,14.71,32.35,10.29,118.0,5.3,0.294
"WHITE CHOCOLATE MACADAMIA NUT ENERGY BARS, WHITE CHOCOLATE MACADAMIA NUT",68.0,61.76,0.0,382.0,5.9,13.24,30.88,10.29,118.0,5.3,0.294
"CHOCOLATE BROWNIE ENERGY BARS, CHOCOLATE BROWNIE",68.0,64.71,0.0,368.0,5.9,13.24,30.88,7.35,147.0,5.3,0.294
"BANANA NUT BREAD ENERGY BARS, BANANA NUT BREAD",68.0,63.24,0.0,368.0,5.9,13.24,32.35,8.82,118.0,8.8,0.294
"APRICOT ENERGY BARS, APRICOT",68.0,67.65,0.0,353.0,5.9,13.24,33.82,5.15,118.0,5.3,0.294
"BLUEBERRY CRISP ENERGY BARS, BLUEBERRY CRISP",68.0,64.71,0.0,368.0,5.9,13.24,32.35,7.35,118.0,5.3,0.294
